,work_id,Fullname,Order,work_year,DOI
1,caadria1996_0ed4,Haruyuki Kusama,1,1996,https://doi.org/10.52842/conf.caadria.1996.153
2,caadria1996_0ed4,Tomohiro Fukuda,2,1996,https://doi.org/10.52842/conf.caadria.1996.153
3,caadria1996_0ed4,Jae Wan Park,3,1996,https://doi.org/10.52842/conf.caadria.1996.153
4,caadria1996_0ed4,Tsuyoshi Sasada,4,1996,https://doi.org/10.52842/conf.caadria.1996.153
5,caadria1996_22fd,Wen Huey Chou,1,1996,https://doi.org/10.52842/conf.caadria.1996.081
6,caadria1996_2790,Mon-Chu Chen,1,1996,https://doi.org/10.52842/conf.caadria.1996.191
7,caadria1996_4094,Milton Tan,1,1996,https://doi.org/10.52842/conf.caadria.1996.099
8,caadria1996_4171,John S. Gero,1,1996,https://doi.org/10.52842/conf.caadria.1996.035
9,caadria1996_4171,Mary Lou Maher,2,1996,https://doi.org/10.52842/conf.caadria.1996.035
10,caadria1996_418a,Inhan Kim,1,1996,https://doi.org/10.52842/conf.caadria.1996.163
11,caadria1996_44a3,Tie Gang Shen,1,1996,https://doi.org/10.52842/conf.caadria.1996.249
12,caadria1996_4fee,Hou I Chen,1,1996,https://doi.org/10.52842/conf.caadria.1996.199
13,caadria1996_4fee,Shuenn Ren Liou,2,1996,https://doi.org/10.52842/conf.caadria.1996.199
14,caadria1996_6063,Nancy Yen-Wen Cheng,1,1996,https://doi.org/10.52842/conf.caadria.1996.011
15,caadria1996_6097,Yu-Tung Liu,1,1996,https://doi.org/10.52842/conf.caadria.1996.173
16,caadria1996_616a,Wei Ming Shih,1,1996,https://doi.org/10.52842/conf.caadria.1996.091
17,caadria1996_616a,Ming Chuen Chuang,2,1996,https://doi.org/10.52842/conf.caadria.1996.091
18,caadria1996_664c,Tie Gang Shen,1,1996,https://doi.org/10.52842/conf.caadria.1996.245
19,caadria1996_6ab6,Mary Lou Maher,1,1996,https://doi.org/10.52842/conf.caadria.1996.233
20,caadria1996_6ab6,James Rutherford,2,1996,https://doi.org/10.52842/conf.caadria.1996.233
21,caadria1996_6ab6,John S. Gero,3,1996,https://doi.org/10.52842/conf.caadria.1996.233
22,caadria1996_6e0f,Laurence Goldstein,1,1996,https://doi.org/10.52842/conf.caadria.1996.307
23,caadria1996_6f13,Mitsuo Morozumi,1,1996,https://doi.org/10.52842/conf.caadria.1996.063
24,caadria1996_6f13,Tomonori Hamada,2,1996,https://doi.org/10.52842/conf.caadria.1996.063
25,caadria1996_6f13,Yuichi Shimokawa,3,1996,https://doi.org/10.52842/conf.caadria.1996.063
26,caadria1996_6f13,Kazuhisa Iki,4,1996,https://doi.org/10.52842/conf.caadria.1996.063
27,caadria1996_80fb,Sung?�ho Woo,1,1996,https://doi.org/10.52842/conf.caadria.1996.027
28,caadria1996_80fb,Yoshihide Takenaka,2,1996,https://doi.org/10.52842/conf.caadria.1996.027
29,caadria1996_80fb,Tsuyoshi Sasada,3,1996,https://doi.org/10.52842/conf.caadria.1996.027
30,caadria1996_88a2,Lei Zhang,1,1996,https://doi.org/10.52842/conf.caadria.1996.253
31,caadria1996_88f4,Sheng Fu,1,1996,https://doi.org/10.52842/conf.caadria.1996.053
